"Time (s) Run #1";"Current (A) Run #1";"Temperature (°C) Run #1";"ΔT (°C) Run #1";"ΔE₁ (J) Run #1";"ΔE (J) Run #1"
0,000;-2,512E-4;24,01;0,00;6,31E-8;6,31E-8
0,100;-3,140E-5;24,03;0,02;9,86E-10;6,41E-8
0,200;-1,256E-4;24,02;0,01;1,58E-8;7,99E-8
0,300;3,140E-5;24,03;0,02;9,86E-10;8,09E-8
0,400;-9,421E-5;24,04;0,03;8,88E-9;8,97E-8
0,500;-9,421E-5;24,03;0,02;8,88E-9;9,86E-8
0,600;-6,281E-5;24,06;0,05;3,94E-9;1,03E-7
0,700;-3,140E-5;24,04;0,03;9,86E-10;1,04E-7
0,800;-9,421E-5;24,03;0,02;8,88E-9;1,12E-7
0,900;-6,281E-5;24,01;0,00;3,94E-9;1,16E-7
1,000;6,281E-4;24,04;0,03;3,94E-7;5,11E-7
1,100;0,001;24,05;0,04;1,21E-6;1,72E-6
1,200;-5,338E-4;24,02;0,01;2,85E-7;2,00E-6
1,300;-6,281E-5;24,04;0,03;3,94E-9;2,01E-6
1,400;0,002;24,04;0,03;2,47E-6;4,47E-6
1,500;0,007;24,03;0,02;5,54E-5;5,99E-5
1,600;-9,421E-5;24,03;0,02;8,88E-9;5,99E-5
1,700;0,002;24,04;0,03;4,43E-6;6,43E-5
1,800;0,008;24,04;0,03;6,56E-5;1,30E-4
1,900;-3,140E-5;24,03;0,02;9,86E-10;1,30E-4
2,000;0,005;24,02;0,01;2,25E-5;1,52E-4
2,100;0,002;24,03;0,02;3,55E-6;1,56E-4
2,200;-9,421E-5;24,04;0,03;8,88E-9;1,56E-4
2,300;4,082E-4;24,03;0,02;1,67E-7;1,56E-4
2,400;5,338E-4;24,03;0,02;2,85E-7;1,56E-4
2,500;-9,421E-5;24,03;0,02;8,88E-9;1,56E-4
2,600;-3,140E-5;24,05;0,04;9,86E-10;1,56E-4
2,700;-3,140E-5;24,05;0,04;9,86E-10;1,56E-4
2,800;0,002;24,02;0,01;2,88E-6;1,59E-4
2,900;-6,281E-5;24,04;0,03;3,94E-9;1,59E-4
3,000;-3,140E-5;24,04;0,03;9,86E-10;1,59E-4
3,100;0,001;24,04;0,03;1,35E-6;1,61E-4
3,200;-6,281E-5;24,03;0,02;3,94E-9;1,61E-4
3,300;8,165E-4;24,02;0,01;6,67E-7;1,61E-4
3,400;0,007;24,03;0,02;4,90E-5;2,10E-4
3,500;0,007;24,00;-0,01;5,45E-5;2,65E-4
3,600;-6,281E-5;24,05;0,04;3,94E-9;2,65E-4
3,700;0,003;24,03;0,02;1,22E-5;2,77E-4
3,800;0,020;24,03;0,02;3,96E-4;6,73E-4
3,900;0,003;24,04;0,03;6,79E-6;6,80E-4
4,000;0,022;24,04;0,03;4,86E-4;0,00
4,100;0,032;24,04;0,03;0,00;0,00
4,200;0,030;24,02;0,01;9,30E-4;0,00
4,300;0,000;24,03;0,02;0,00;0,00
